Time,GPU Power (W)
0.00,-0.15331999999995105
0.01,-0.15331999999995105
0.02,-0.15331999999995105
0.03,-0.15331999999995105
0.04,-0.15331999999995105
0.05,-0.15331999999995105
0.06,-0.15331999999995105
0.07,-0.15331999999995105
0.08,-0.15331999999995105
0.09,-0.15331999999995105
0.10,-0.15331999999995105
0.11,-0.15331999999995105
0.12,-0.15331999999995105
0.13,-0.15331999999995105
0.14,-0.15331999999995105
0.15,-0.15331999999995105
0.16,-0.15331999999995105
0.17,-0.15331999999995105
0.18,-0.15331999999995105
0.19,-0.15331999999995105
0.20,-0.15331999999995105
0.21,-0.15331999999995105
0.22,-0.15331999999995105
0.23,-0.15331999999995105
0.24,-0.15331999999995105
0.25,-0.15331999999995105
0.26,-0.15331999999995105
0.27,-0.15331999999995105
0.28,-0.15331999999995105
0.29,-0.15331999999995105
0.30,-0.15331999999995105
0.31,-0.15331999999995105
0.32,-0.15331999999995105
0.33,-0.15331999999995105
0.34,-0.15331999999995105
0.35,-0.15331999999995105
0.36,-0.15331999999995105
0.37,-0.15331999999995105
0.38,-0.20231999999995054
0.39,-0.20231999999995054
0.40,-0.20231999999995054
0.41,-0.20231999999995054
0.42,-0.20231999999995054
0.43,-0.20231999999995054
0.44,-0.20231999999995054
0.45,-0.20231999999995054
0.46,-0.20231999999995054
0.47,-0.20231999999995054
0.48,-0.20231999999995054
0.49,-0.20231999999995054
0.50,-0.20231999999995054
0.51,-0.20231999999995054
0.52,-0.20231999999995054
0.53,-0.20231999999995054
0.54,-0.20231999999995054
0.55,-0.20231999999995054
0.56,-0.20231999999995054
0.57,-0.20231999999995054
0.58,-0.20231999999995054
0.59,-0.20231999999995054
0.60,-0.20231999999995054
0.61,-0.20231999999995054
0.62,-0.20231999999995054
0.63,-0.20231999999995054
0.64,-0.20231999999995054
0.65,-0.20231999999995054
0.66,-0.20231999999995054
0.67,-0.20231999999995054
0.68,-0.20231999999995054
0.69,-0.20231999999995054
0.70,-0.20231999999995054
0.71,-0.20231999999995054
0.72,-0.20231999999995054
0.73,-0.20231999999995054
0.74,-0.20231999999995054
0.75,-0.20231999999995054
0.76,-0.20231999999995054
0.77,-0.20231999999995054
0.78,-0.20231999999995054
0.79,-0.20231999999995054
0.81,-0.20231999999995054
0.82,-0.20231999999995054
0.83,-0.20231999999995054
0.84,-0.20231999999995054
0.85,-0.20231999999995054
0.86,-0.20231999999995054
0.87,-0.20231999999995054
0.88,-0.20231999999995054
0.89,-0.20231999999995054
0.90,-0.20231999999995054
0.91,-0.20231999999995054
0.92,-0.20231999999995054
0.93,-0.20231999999995054
0.94,-0.20231999999995054
0.95,-0.20231999999995054
0.96,-0.20231999999995054
0.97,-0.20231999999995054
0.98,-0.20231999999995054
0.99,-0.20231999999995054
1.00,-0.20231999999995054
1.01,-0.20231999999995054
1.02,-0.20231999999995054
1.03,-0.20231999999995054
1.04,-0.20231999999995054
1.05,-0.20231999999995054
1.06,-0.20231999999995054
1.07,-0.20231999999995054
1.08,-0.20231999999995054
